                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 0.9052,                0.30424,                 1.1806,                0.99989,                      1,                0.99499,                  0.851,                0.87405,                0.24599,                 1.2708,                0.00208,                0.00208,                0.00208
                     83,                0.90483,                0.30357,                 1.1819,                0.99987,                0.99997,                0.99499,                0.85103,                0.87381,                0.24576,                 1.2705,               0.001981,               0.001981,               0.001981
                     84,                  0.905,                0.30294,                 1.1804,                0.99984,                0.99999,                0.99499,                0.85144,                0.87366,                0.24563,                 1.2703,               0.001882,               0.001882,               0.001882
                     85,                0.90245,                0.30188,                 1.1796,                0.99985,                      1,                0.99499,                0.85072,                0.87353,                0.24544,                 1.2702,               0.001783,               0.001783,               0.001783
                     86,                0.90184,                0.30135,                 1.1785,                0.99988,                      1,                0.99499,                0.85116,                 0.8733,                 0.2455,                   1.27,               0.001684,               0.001684,               0.001684
                     87,                0.90142,                0.29936,                 1.1784,                 0.9999,                      1,                0.99499,                0.85158,                0.87302,                0.24544,                 1.2699,               0.001585,               0.001585,               0.001585
                     88,                0.90021,                0.29904,                  1.178,                0.99988,                      1,                0.99499,                0.85258,                0.87286,                0.24508,                 1.2698,               0.001486,               0.001486,               0.001486
                     89,                0.90001,                0.29693,                 1.1769,                0.99989,                      1,                0.99499,                0.85337,                0.87252,                0.24478,                 1.2695,               0.001387,               0.001387,               0.001387
                     90,                0.89672,                0.29561,                 1.1757,                0.99989,                      1,                0.99499,                0.85257,                0.87246,                0.24501,                 1.2694,               0.001288,               0.001288,               0.001288
                     91,                0.89672,                0.29467,                 1.1742,                0.99989,                      1,                0.99499,                0.85261,                0.87228,                 0.2449,                 1.2692,               0.001189,               0.001189,               0.001189
                     92,                0.89466,                0.29311,                 1.1737,                0.99989,                      1,                0.99499,                0.85217,                0.87212,                0.24448,                 1.2689,                0.00109,                0.00109,                0.00109
                     93,                 0.8932,                0.29197,                 1.1727,                0.99989,                      1,                0.99499,                0.85216,                0.87192,                0.24457,                 1.2686,               0.000991,               0.000991,               0.000991
                     94,                0.89391,                 0.2899,                 1.1724,                0.99989,                0.99998,                0.99499,                0.85225,                0.87153,                0.24448,                 1.2684,               0.000892,               0.000892,               0.000892
                     95,                 0.8907,                0.28772,                 1.1708,                0.99991,                0.99999,                0.99499,                0.85254,                 0.8712,                0.24387,                 1.2682,               0.000793,               0.000793,               0.000793
                     96,                0.88939,                0.28605,                 1.1696,                0.99991,                      1,                0.99499,                0.85242,                0.87095,                0.24353,                 1.2678,               0.000694,               0.000694,               0.000694
                     97,                 0.8902,                0.28587,                 1.1698,                0.99989,                      1,                0.99499,                0.85249,                0.87046,                 0.2434,                 1.2674,               0.000595,               0.000595,               0.000595
                     98,                0.88694,                0.28281,                 1.1687,                0.99991,                      1,                0.99499,                0.85314,                0.87011,                0.24299,                 1.2669,               0.000496,               0.000496,               0.000496
                     99,                 0.8843,                0.28066,                 1.1666,                0.99989,                0.99999,                0.99499,                0.85272,                0.86986,                0.24277,                 1.2666,               0.000397,               0.000397,               0.000397
                    100,                0.88237,                 0.2784,                 1.1652,                0.99988,                      1,                0.99499,                0.85252,                 0.8696,                0.24266,                 1.2663,               0.000298,               0.000298,               0.000298
